experiment,evaluation_type,metric,step,episodes,seed,value,source
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,3700,,1,0.02997803,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,3800,,1,0.02810430,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,3900,,1,0.02857249,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,4000,,1,0.02913558,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,4100,,1,0.02721972,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,4200,,1,0.02594586,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,4300,,1,0.02652555,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,4400,,1,0.02544629,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,4500,,1,0.02587293,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,4600,,1,0.02466487,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,4700,,1,0.02344920,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,4800,,1,0.02405918,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,4900,,1,0.02392145,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,5000,,1,0.02458343,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,5100,,1,0.02349850,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,5200,,1,0.02345987,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,5300,,1,0.02340191,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,5400,,1,0.02213574,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,5500,,1,0.02343458,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,5600,,1,0.02315897,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,5700,,1,0.02169872,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,5800,,1,0.02164308,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,5900,,1,0.02123402,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,6000,,1,0.02024100,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,6100,,1,0.02055124,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,6200,,1,0.02027485,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,6300,,1,0.02010615,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,6400,,1,0.02181550,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,6500,,1,0.02103171,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,6600,,1,0.02008746,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,6700,,1,0.01953442,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,6800,,1,0.01918978,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
act-PickCube-v1-state-100demos-seed1,training_scalar,loss,6900,,1,0.02218404,act-PickCube-v1-state-100demos-seed1/events.out.tfevents.1790055938.WP.1047248.0
